"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"... 3360","1","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 3378","2","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 3460","0","0","0","0","0","0","0","0","0","0","2","0","0","0",""
"... 3530","1","0","0","0","2","0","0","0","0","0","2","0","0","0",""
"... 3660","0","0","2","0","1","0","0","0","0","0","2","0","1","0",""
"... 3700","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 3762","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 3800","3","0","2","0","0","0","2","0","1","0","1","0","1","0",""
"... 4000","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 4020","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 4040","2","0","3","0","3","0","1","0","4","0","0","0","2","0",""
"... 4203","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 4218","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 4414","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 4420","0","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 4580","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 4690","0","0","0","0","2","0","2","0","0","0","1","0","0","0",""
"... 4755","0","0","0","0","0","0","2","0","1","0","1","0","2","0",""
"... 4770","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 4814","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 4820","1","0","1","0","1","0","1","0","1","0","0","0","1","0",""
"... 4850","2","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 4880","0","0","0","0","0","0","0","0","1","0","0","0","1","0",""
"... 5000","2","0","2","0","0","0","0","0","4","0","1","0","3","0",""
"... 5020","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 5043","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 5144","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 5161","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 5462","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 5476","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 5600","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 5700","1","0","3","0","0","0","0","0","0","0","0","0","0","0",""
"... 5710","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
